country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Antigua and Barbuda,2012,female,15-24 years,0,8435,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,female,25-34 years,0,7215,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,female,35-54 years,0,15193,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
Antigua and Barbuda,2012,female,5-14 years,0,8401,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
Antigua and Barbuda,2012,female,55-74 years,0,5512,0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
Antigua and Barbuda,2012,female,75+ years,0,1625,0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
Antigua and Barbuda,2012,male,15-24 years,0,7893,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,male,25-34 years,0,6629,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,male,35-54 years,0,13280,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
Antigua and Barbuda,2012,male,5-14 years,0,8475,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
Antigua and Barbuda,2012,male,55-74 years,0,4994,0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
Antigua and Barbuda,2012,male,75+ years,0,1051,0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
Antigua and Barbuda,2013,female,15-24 years,0,8494,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,female,25-34 years,0,7397,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,female,35-54 years,0,15236,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
Antigua and Barbuda,2013,female,5-14 years,0,8353,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
Antigua and Barbuda,2013,female,55-74 years,0,5787,0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
Antigua and Barbuda,2013,female,75+ years,0,1652,0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
Antigua and Barbuda,2013,male,15-24 years,0,8061,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,male,25-34 years,0,6782,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,male,35-54 years,0,13302,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
Antigua and Barbuda,2013,male,5-14 years,0,8405,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
Antigua and Barbuda,2013,male,55-74 years,0,5238,0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
Antigua and Barbuda,2013,male,75+ years,0,1072,0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
Antigua and Barbuda,2014,female,15-24 years,0,8537,0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
Antigua and Barbuda,2014,female,25-34 years,0,7578,0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
Antigua and Barbuda,2014,female,35-54 years,0,15273,0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation X
Antigua and Barbuda,2014,female,5-14 years,0,8296,0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation Z
Antigua and Barbuda,2014,female,55-74 years,0,6085,0,Antigua and Barbuda2014,0.783,1280133333,14093,Boomers
Antigua and Barbuda,2014,female,75+ years,0,1686,0,Antigua and Barbuda2014,0.783,1280133333,14093,Silent
Antigua and Barbuda,2014,male,15-24 years,0,8208,0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
Antigua and Barbuda,2014,male,25-34 years,0,6928,0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
Antigua and Barbuda,2014,male,35-54 years,0,13325,0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation X
Antigua and Barbuda,2014,male,5-14 years,0,8335,0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation Z
Antigua and Barbuda,2014,male,55-74 years,0,5503,0,Antigua and Barbuda2014,0.783,1280133333,14093,Boomers
Antigua and Barbuda,2014,male,75+ years,0,1083,0,Antigua and Barbuda2014,0.783,1280133333,14093,Silent
Antigua and Barbuda,2015,female,55-74 years,1,6403,15.62,Antigua and Barbuda2015,,1364863037,14853,Boomers
Antigua and Barbuda,2015,female,15-24 years,0,8561,0,Antigua and Barbuda2015,,1364863037,14853,Millenials
Antigua and Barbuda,2015,female,25-34 years,0,7740,0,Antigua and Barbuda2015,,1364863037,14853,Millenials
Antigua and Barbuda,2015,female,35-54 years,0,15323,0,Antigua and Barbuda2015,,1364863037,14853,Generation X
Antigua and Barbuda,2015,female,5-14 years,0,8239,0,Antigua and Barbuda2015,,1364863037,14853,Generation Z
Antigua and Barbuda,2015,female,75+ years,0,1724,0,Antigua and Barbuda2015,,1364863037,14853,Silent
Antigua and Barbuda,2015,male,15-24 years,0,8331,0,Antigua and Barbuda2015,,1364863037,14853,Millenials
Antigua and Barbuda,2015,male,25-34 years,0,7059,0,Antigua and Barbuda2015,,1364863037,14853,Millenials
Antigua and Barbuda,2015,male,35-54 years,0,13370,0,Antigua and Barbuda2015,,1364863037,14853,Generation X
Antigua and Barbuda,2015,male,5-14 years,0,8268,0,Antigua and Barbuda2015,,1364863037,14853,Generation Z
Antigua and Barbuda,2015,male,55-74 years,0,5784,0,Antigua and Barbuda2015,,1364863037,14853,Boomers
Antigua and Barbuda,2015,male,75+ years,0,1087,0,Antigua and Barbuda2015,,1364863037,14853,Silent
Argentina,2011,male,75+ years,178,674738,26.38,Argentina2011,0.818,530163281575,13946,Silent
Argentina,2011,male,15-24 years,693,3471151,19.96,Argentina2011,0.818,530163281575,13946,Millenials
Argentina,2011,male,25-34 years,510,3258804,15.65,Argentina2011,0.818,530163281575,13946,Millenials
Argentina,2011,male,55-74 years,416,2788575,14.92,Argentina2011,0.818,530163281575,13946,Boomers
Argentina,2011,male,35-54 years,504,4738525,10.64,Argentina2011,0.818,530163281575,13946,Generation X
Argentina,2011,female,15-24 years,172,3372659,5.1,Argentina2011,0.818,530163281575,13946,Millenials
Argentina,2011,female,35-54 years,157,4893085,3.21,Argentina2011,0.818,530163281575,13946,Generation X
Argentina,2011,female,25-34 years,102,3224774,3.16,Argentina2011,0.818,530163281575,13946,Millenials
Argentina,2011,female,55-74 years,93,3268753,2.85,Argentina2011,0.818,530163281575,13946,Boomers
Argentina,2011,female,75+ years,30,1260121,2.38,Argentina2011,0.818,530163281575,13946,Silent
Argentina,2011,female,5-14 years,29,3472180,0.84,Argentina2011,0.818,530163281575,13946,Generation Z
Argentina,2011,male,5-14 years,28,3592374,0.78,Argentina2011,0.818,530163281575,13946,Generation Z
Argentina,2012,male,75+ years,225,688560,32.68,Argentina2012,0.831,545982375701,14203,Silent
Argentina,2012,male,15-24 years,745,3480902,21.4,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,male,25-34 years,616,3268154,18.85,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,male,55-74 years,451,2839783,15.88,Argentina2012,0.831,545982375701,14203,Boomers
Argentina,2012,male,35-54 years,554,4841057,11.44,Argentina2012,0.831,545982375701,14203,Generation X
Argentina,2012,female,15-24 years,204,3380770,6.03,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,female,35-54 years,164,4993138,3.28,Argentina2012,0.831,545982375701,14203,Generation X
Argentina,2012,female,55-74 years,108,3328463,3.24,Argentina2012,0.831,545982375701,14203,Boomers
Argentina,2012,female,25-34 years,102,3228400,3.16,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,female,75+ years,33,1282726,2.57,Argentina2012,0.831,545982375701,14203,Silent
Argentina,2012,male,5-14 years,29,3615254,0.8,Argentina2012,0.831,545982375701,14203,Generation Z
Argentina,2012,female,5-14 years,17,3494571,0.49,Argentina2012,0.831,545982375701,14203,Generation Z
Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,0.833,552025140252,14206,Silent
Argentina,2013,male,15-24 years,696,3486661,19.96,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,male,25-34 years,499,3271373,15.25,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,male,55-74 years,398,2894129,13.75,Argentina2013,0.833,552025140252,14206,Boomers
Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,552025140252,14206,Generation X
Argentina,2013,female,15-24 years,167,3384642,4.93,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,female,25-34 years,102,3226464,3.16,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,female,35-54 years,157,5099167,3.08,Argentina2013,0.833,552025140252,14206,Generation X
Argentina,2013,female,55-74 years,102,3390673,3.01,Argentina2013,0.833,552025140252,14206,Boomers
Argentina,2013,female,75+ years,29,1303352,2.23,Argentina2013,0.833,552025140252,14206,Silent
Argentina,2013,female,5-14 years,32,3515742,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
Argentina,2013,male,5-14 years,33,3637026,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
Argentina,2014,male,75+ years,192,706897,27.16,Argentina2014,0.836,526319673732,13400,Silent
Argentina,2014,male,15-24 years,738,3492454,21.13,Argentina2014,0.836,526319673732,13400,Millenials
Argentina,2014,male,25-34 years,531,3276955,16.2,Argentina2014,0.836,526319673732,13400,Millenials
Argentina,2014,male,55-74 years,405,2951616,13.72,Argentina2014,0.836,526319673732,13400,Boomers
Argentina,2014,male,35-54 years,644,5060862,12.73,Argentina2014,0.836,526319673732,13400,Generation X
Argentina,2014,female,15-24 years,204,3388324,6.02,Argentina2014,0.836,526319673732,13400,Millenials
Argentina,2014,female,35-54 years,196,5203634,3.77,Argentina2014,0.836,526319673732,13400,Generation X
