country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Saint Lucia,1988,female,75+ years,1,1600,62.5,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
Saint Lucia,1988,male,55-74 years,2,4900,40.82,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
Saint Lucia,1988,female,55-74 years,2,6300,31.75,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
Saint Lucia,1988,male,35-54 years,2,8800,22.73,Saint Lucia1988,,"366,541,091",3244,Silent
Saint Lucia,1988,male,25-34 years,1,9000,11.11,Saint Lucia1988,,"366,541,091",3244,Boomers
Saint Lucia,1988,male,15-24 years,1,14800,6.76,Saint Lucia1988,,"366,541,091",3244,Generation X
Saint Lucia,1988,female,5-14 years,1,15300,6.54,Saint Lucia1988,,"366,541,091",3244,Generation X
Saint Lucia,1988,female,15-24 years,0,15000,0,Saint Lucia1988,,"366,541,091",3244,Generation X
Saint Lucia,1988,female,25-34 years,0,10400,0,Saint Lucia1988,,"366,541,091",3244,Boomers
Saint Lucia,1988,female,35-54 years,0,10200,0,Saint Lucia1988,,"366,541,091",3244,Silent
Saint Lucia,1988,male,5-14 years,0,15700,0,Saint Lucia1988,,"366,541,091",3244,Generation X
Saint Lucia,1988,male,75+ years,0,1000,0,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
Saint Lucia,1989,male,55-74 years,2,6532,30.62,Saint Lucia1989,,"415,518,112",3505,G.I. Generation
Saint Lucia,1989,female,55-74 years,1,7188,13.91,Saint Lucia1989,,"415,518,112",3505,G.I. Generation
Saint Lucia,1989,male,25-34 years,1,9610,10.41,Saint Lucia1989,,"415,518,112",3505,Boomers
Saint Lucia,1989,female,25-34 years,1,10069,9.93,Saint Lucia1989,,"415,518,112",3505,Boomers
Saint Lucia,1989,male,35-54 years,1,10292,9.72,Saint Lucia1989,,"415,518,112",3505,Silent
Saint Lucia,1989,male,15-24 years,1,13777,7.26,Saint Lucia1989,,"415,518,112",3505,Generation X
Saint Lucia,1989,female,15-24 years,1,14172,7.06,Saint Lucia1989,,"415,518,112",3505,Generation X
Saint Lucia,1989,female,35-54 years,0,10657,0,Saint Lucia1989,,"415,518,112",3505,Silent
Saint Lucia,1989,female,5-14 years,0,16416,0,Saint Lucia1989,,"415,518,112",3505,Generation X
Saint Lucia,1989,female,75+ years,0,1924,0,Saint Lucia1989,,"415,518,112",3505,G.I. Generation
Saint Lucia,1989,male,5-14 years,0,16552,0,Saint Lucia1989,,"415,518,112",3505,Generation X
Saint Lucia,1989,male,75+ years,0,1377,0,Saint Lucia1989,,"415,518,112",3505,G.I. Generation
Saint Lucia,1990,male,25-34 years,1,9974,10.03,Saint Lucia1990,,"483,962,431",4015,Boomers
Saint Lucia,1990,female,25-34 years,1,10489,9.53,Saint Lucia1990,,"483,962,431",4015,Boomers
Saint Lucia,1990,male,15-24 years,1,13592,7.36,Saint Lucia1990,,"483,962,431",4015,Generation X
Saint Lucia,1990,female,15-24 years,0,14116,0,Saint Lucia1990,,"483,962,431",4015,Generation X
Saint Lucia,1990,female,35-54 years,0,10814,0,Saint Lucia1990,,"483,962,431",4015,Silent
Saint Lucia,1990,female,5-14 years,0,16405,0,Saint Lucia1990,,"483,962,431",4015,Generation X
Saint Lucia,1990,female,55-74 years,0,7433,0,Saint Lucia1990,,"483,962,431",4015,G.I. Generation
Saint Lucia,1990,female,75+ years,0,2160,0,Saint Lucia1990,,"483,962,431",4015,G.I. Generation
Saint Lucia,1990,male,35-54 years,0,10663,0,Saint Lucia1990,,"483,962,431",4015,Silent
Saint Lucia,1990,male,5-14 years,0,16448,0,Saint Lucia1990,,"483,962,431",4015,Generation X
Saint Lucia,1990,male,55-74 years,0,6879,0,Saint Lucia1990,,"483,962,431",4015,G.I. Generation
Saint Lucia,1990,male,75+ years,0,1564,0,Saint Lucia1990,,"483,962,431",4015,G.I. Generation
Saint Lucia,1991,male,75+ years,1,1687,59.28,Saint Lucia1991,,"513,753,818",4194,G.I. Generation
Saint Lucia,1991,male,25-34 years,2,10359,19.31,Saint Lucia1991,,"513,753,818",4194,Boomers
Saint Lucia,1991,male,35-54 years,2,11009,18.17,Saint Lucia1991,,"513,753,818",4194,Boomers
Saint Lucia,1991,male,15-24 years,1,13648,7.33,Saint Lucia1991,,"513,753,818",4194,Generation X
Saint Lucia,1991,female,15-24 years,0,14156,0,Saint Lucia1991,,"513,753,818",4194,Generation X
Saint Lucia,1991,female,25-34 years,0,10923,0,Saint Lucia1991,,"513,753,818",4194,Boomers
Saint Lucia,1991,female,35-54 years,0,11148,0,Saint Lucia1991,,"513,753,818",4194,Boomers
Saint Lucia,1991,female,5-14 years,0,16468,0,Saint Lucia1991,,"513,753,818",4194,Millenials
Saint Lucia,1991,female,55-74 years,0,7433,0,Saint Lucia1991,,"513,753,818",4194,Silent
Saint Lucia,1991,female,75+ years,0,2309,0,Saint Lucia1991,,"513,753,818",4194,G.I. Generation
Saint Lucia,1991,male,5-14 years,0,16437,0,Saint Lucia1991,,"513,753,818",4194,Millenials
Saint Lucia,1991,male,55-74 years,0,6919,0,Saint Lucia1991,,"513,753,818",4194,Silent
Saint Lucia,1992,male,35-54 years,7,11354,61.65,Saint Lucia1992,,"566,894,749",4564,Boomers
Saint Lucia,1992,male,15-24 years,3,13607,22.05,Saint Lucia1992,,"566,894,749",4564,Generation X
Saint Lucia,1992,male,55-74 years,1,6939,14.41,Saint Lucia1992,,"566,894,749",4564,Silent
Saint Lucia,1992,female,15-24 years,0,14112,0,Saint Lucia1992,,"566,894,749",4564,Generation X
Saint Lucia,1992,female,25-34 years,0,11288,0,Saint Lucia1992,,"566,894,749",4564,Boomers
Saint Lucia,1992,female,35-54 years,0,11519,0,Saint Lucia1992,,"566,894,749",4564,Boomers
Saint Lucia,1992,female,5-14 years,0,16583,0,Saint Lucia1992,,"566,894,749",4564,Millenials
Saint Lucia,1992,female,55-74 years,0,7421,0,Saint Lucia1992,,"566,894,749",4564,Silent
Saint Lucia,1992,female,75+ years,0,2460,0,Saint Lucia1992,,"566,894,749",4564,G.I. Generation
Saint Lucia,1992,male,25-34 years,0,10682,0,Saint Lucia1992,,"566,894,749",4564,Boomers
Saint Lucia,1992,male,5-14 years,0,16444,0,Saint Lucia1992,,"566,894,749",4564,Millenials
Saint Lucia,1992,male,75+ years,0,1814,0,Saint Lucia1992,,"566,894,749",4564,G.I. Generation
